,skills,sum,frequency,percent
2,adobe photoshop,11,0.0859375,8.59%
28,ux,11,0.0859375,8.59%
33,веб-дизайн,10,0.078125,7.81%
1,adobe illustrator,8,0.0625,6.25%
25,ui,7,0.0546875,5.47%
40,дизайн интерфейсов,7,0.0546875,5.47%
14,ios,4,0.03125,3.12%
46,проектирование пользовательских интерфейсов,4,0.03125,3.12%
30,английский язык,4,0.03125,3.12%
24,team management,4,0.03125,3.12%
21,scrum,4,0.03125,3.12%
0,adobe after effect,4,0.03125,3.12%
3,agile project management,4,0.03125,3.12%
5,android,4,0.03125,3.12%
11,figma,3,0.0234375,2.34%
35,графические редакторы,2,0.015625,1.56%
20,product management,2,0.015625,1.56%
39,дизайн,2,0.015625,1.56%
12,game interfaces ux/ui unreal engine,1,0.0078125,0.78%
41,маркетинговые исследования,1,0.0078125,0.78%
36,графический дизайн,1,0.0078125,0.78%
37,деловая переписка,1,0.0078125,0.78%
38,деловое общение,1,0.0078125,0.78%
4,andengine,1,0.0078125,0.78%
43,обучение и развитие,1,0.0078125,0.78%
42,маркетинговый анализ,1,0.0078125,0.78%
44,организация мероприятий,1,0.0078125,0.78%
45,проведение презентаций,1,0.0078125,0.78%
47,работа в команде,1,0.0078125,0.78%
48,разработка технических заданий,1,0.0078125,0.78%
49,управление проектами,1,0.0078125,0.78%
34,грамотная речь,1,0.0078125,0.78%
31,бенчмаркинг,1,0.0078125,0.78%
32,веб-аналитика,1,0.0078125,0.78%
13,html,1,0.0078125,0.78%
15,leadership skills,1,0.0078125,0.78%
16,linux,1,0.0078125,0.78%
17,market research,1,0.0078125,0.78%
18,marketing analysis,1,0.0078125,0.78%
19,presentation skills,1,0.0078125,0.78%
10,design thinking,1,0.0078125,0.78%
22,story mapping,1,0.0078125,0.78%
23,strategic marketing,1,0.0078125,0.78%
9,customer experience,1,0.0078125,0.78%
8,css,1,0.0078125,0.78%
26,usability,1,0.0078125,0.78%
27,user experience,1,0.0078125,0.78%
7,cjm,1,0.0078125,0.78%
29,аналитика,1,0.0078125,0.78%
6,axure rp,1,0.0078125,0.78%
50,юзабилити-исследования,1,0.0078125,0.78%
