,skills,sum,frequency,percent
134,ux,129,0.09541420118343195,9.54%
124,ui,117,0.08653846153846154,8.65%
56,figma,104,0.07692307692307693,7.69%
159,веб-дизайн,98,0.07248520710059171,7.25%
13,adobe photoshop,95,0.07026627218934911,7.03%
216,проектирование пользовательских интерфейсов,65,0.04807692307692308,4.81%
11,adobe illustrator,54,0.03994082840236687,3.99%
170,дизайн интерфейсов,49,0.036242603550295856,3.62%
217,прототипирование,35,0.025887573964497042,2.59%
154,английский язык,34,0.02514792899408284,2.51%
169,дизайн,22,0.016272189349112426,1.63%
23,atlassian jira,20,0.014792899408284023,1.48%
67,html,16,0.011834319526627219,1.18%
218,работа в команде,15,0.011094674556213017,1.11%
26,axure rp,15,0.011094674556213017,1.11%
44,css,15,0.011094674556213017,1.11%
22,atlassian confluence,14,0.010355029585798817,1.04%
222,разработка нового продукта,14,0.010355029585798817,1.04%
118,sketch,13,0.009615384615384616,0.96%
186,креативность,13,0.009615384615384616,0.96%
72,ios,12,0.008875739644970414,0.89%
166,графический дизайн,11,0.008136094674556213,0.81%
131,usability,11,0.008136094674556213,0.81%
82,material design,10,0.0073964497041420114,0.74%
66,hig,10,0.0073964497041420114,0.74%
20,android,9,0.006656804733727811,0.67%
6,adobe after effect,9,0.006656804733727811,0.67%
17,agile project management,7,0.005177514792899409,0.52%
128,ui/ux,7,0.005177514792899409,0.52%
165,графические редакторы,6,0.004437869822485207,0.44%
221,разработка концепции,6,0.004437869822485207,0.44%
41,coreldraw,5,0.0036982248520710057,0.37%
12,adobe indesign,5,0.0036982248520710057,0.37%
68,html5,4,0.0029585798816568047,0.30%
74,javascript,4,0.0029585798816568047,0.30%
189,маркетинговые исследования,4,0.0029585798816568047,0.30%
196,навыки презентации,4,0.0029585798816568047,0.30%
63,graphic design,4,0.0029585798816568047,0.30%
88,mobile design,4,0.0029585798816568047,0.30%
7,adobe cs,4,0.0029585798816568047,0.30%
38,cjm,4,0.0029585798816568047,0.30%
156,бизнес-анализ,4,0.0029585798816568047,0.30%
138,ux/ui,4,0.0029585798816568047,0.30%
8,adobe design,3,0.0022189349112426036,0.22%
16,adobexd,3,0.0022189349112426036,0.22%
144,web,3,0.0022189349112426036,0.22%
69,illustrator,3,0.0022189349112426036,0.22%
71,invision,3,0.0022189349112426036,0.22%
180,знание figma или sketch,3,0.0022189349112426036,0.22%
132,usability testing,3,0.0022189349112426036,0.22%
236,тестирование пользовательского интерфейса,3,0.0022189349112426036,0.22%
152,аналитические исследования,3,0.0022189349112426036,0.22%
116,scrum,3,0.0022189349112426036,0.22%
80,market research,3,0.0022189349112426036,0.22%
243,управление проектами,3,0.0022189349112426036,0.22%
148,zeplin,3,0.0022189349112426036,0.22%
85,miro,3,0.0022189349112426036,0.22%
208,подготовка презентаций,3,0.0022189349112426036,0.22%
51,design,3,0.0022189349112426036,0.22%
106,project documentation,3,0.0022189349112426036,0.22%
158,веб-аналитика,3,0.0022189349112426036,0.22%
162,грамотная речь,3,0.0022189349112426036,0.22%
52,design thinking,3,0.0022189349112426036,0.22%
98,photoshopuiadobe,3,0.0022189349112426036,0.22%
107,prototyping,3,0.0022189349112426036,0.22%
141,uxadobe,3,0.0022189349112426036,0.22%
225,разработка технических заданий,2,0.0014792899408284023,0.15%
178,дизайн-мышление,2,0.0014792899408284023,0.15%
97,photoshop,2,0.0014792899408284023,0.15%
198,написание текстов,2,0.0014792899408284023,0.15%
190,маркетинговый анализ,2,0.0014792899408284023,0.15%
130,unity,2,0.0014792899408284023,0.15%
242,управление продуктом,2,0.0014792899408284023,0.15%
21,android sdk,2,0.0014792899408284023,0.15%
60,google analytics,2,0.0014792899408284023,0.15%
204,оценка потребностей клиентов,2,0.0014792899408284023,0.15%
127,ui-kit,2,0.0014792899408284023,0.15%
15,adobe xd,2,0.0014792899408284023,0.15%
100,principle,2,0.0014792899408284023,0.15%
93,ms visual studio,2,0.0014792899408284023,0.15%
25,axure,2,0.0014792899408284023,0.15%
167,деловая коммуникация,2,0.0014792899408284023,0.15%
211,проведение презентаций,2,0.0014792899408284023,0.15%
19,andengine,2,0.0014792899408284023,0.15%
179,запуск новых продуктов,1,0.0007396449704142012,0.07%
176,дизайн система,1,0.0007396449704142012,0.07%
177,дизайн системы,1,0.0007396449704142012,0.07%
0,3d max,1,0.0007396449704142012,0.07%
175,дизайн полиграфии,1,0.0007396449704142012,0.07%
174,дизайн мобильных приложений,1,0.0007396449704142012,0.07%
173,дизайн лендингов,1,0.0007396449704142012,0.07%
172,дизайн концептов,1,0.0007396449704142012,0.07%
171,дизайн интерьера,1,0.0007396449704142012,0.07%
168,деловое общение,1,0.0007396449704142012,0.07%
164,графика,1,0.0007396449704142012,0.07%
182,иконографика,1,0.0007396449704142012,0.07%
163,грамотность,1,0.0007396449704142012,0.07%
161,глубинные интервью,1,0.0007396449704142012,0.07%
160,визуализация,1,0.0007396449704142012,0.07%
157,брендинг,1,0.0007396449704142012,0.07%
155,английский язык - технический,1,0.0007396449704142012,0.07%
153,аналитическое мышление,1,0.0007396449704142012,0.07%
181,знание дизайн-систем,1,0.0007396449704142012,0.07%
202,ориентация на клиента,1,0.0007396449704142012,0.07%
183,инициативность,1,0.0007396449704142012,0.07%
231,создавать интерфейс,1,0.0007396449704142012,0.07%
219,работа с figma и miro,1,0.0007396449704142012,0.07%
220,разработка интерфейсов,1,0.0007396449704142012,0.07%
223,разработка продукта,1,0.0007396449704142012,0.07%
224,разработка склада,1,0.0007396449704142012,0.07%
226,разработка фирменного стиля,1,0.0007396449704142012,0.07%
227,расстановка приоритетов,1,0.0007396449704142012,0.07%
228,руководство коллективом,1,0.0007396449704142012,0.07%
229,системное мышление,1,0.0007396449704142012,0.07%
230,системный анализ,1,0.0007396449704142012,0.07%
232,создание сайтов,1,0.0007396449704142012,0.07%
184,количественные исследования,1,0.0007396449704142012,0.07%
233,спортивные мероприятия,1,0.0007396449704142012,0.07%
234,способность быстро обучаться,1,0.0007396449704142012,0.07%
235,сценарии взаимодействия,1,0.0007396449704142012,0.07%
237,точность и внимательность к деталям,1,0.0007396449704142012,0.07%
238,умение адаптироваться,1,0.0007396449704142012,0.07%
239,умение быстро усваивать новую информацию,1,0.0007396449704142012,0.07%
240,умение работать в коллективе,1,0.0007396449704142012,0.07%
241,управление инцидентами,1,0.0007396449704142012,0.07%
244,эффективное принятие решений,1,0.0007396449704142012,0.07%
215,проектирование ui,1,0.0007396449704142012,0.07%
214,проектирование,1,0.0007396449704142012,0.07%
213,продвинутый пользователь пк,1,0.0007396449704142012,0.07%
212,проведения ux исследований,1,0.0007396449704142012,0.07%
185,копирайтинг,1,0.0007396449704142012,0.07%
187,лендинги,1,0.0007396449704142012,0.07%
188,лидерство,1,0.0007396449704142012,0.07%
191,математический анализ,1,0.0007396449704142012,0.07%
192,математический склад ума,1,0.0007396449704142012,0.07%
193,многозадачность,1,0.0007396449704142012,0.07%
194,мобильность,1,0.0007396449704142012,0.07%
195,мобильные приложения,1,0.0007396449704142012,0.07%
197,навыки разрешения спорных ситуаций,1,0.0007396449704142012,0.07%
199,наполнение контентом,1,0.0007396449704142012,0.07%
200,немецкий язык,1,0.0007396449704142012,0.07%
201,обучение и развитие,1,0.0007396449704142012,0.07%
150,аналитика,1,0.0007396449704142012,0.07%
203,ответственность и пунктуальность,1,0.0007396449704142012,0.07%
205,персоны,1,0.0007396449704142012,0.07%
206,перфекционизм,1,0.0007396449704142012,0.07%
207,письменный перевод,1,0.0007396449704142012,0.07%
209,позиционирование бренда,1,0.0007396449704142012,0.07%
210,полиграфический дизайн,1,0.0007396449704142012,0.07%
151,аналитика и сбор данных,1,0.0007396449704142012,0.07%
123,turbo pascal,1,0.0007396449704142012,0.07%
149,адаптивный дизайн,1,0.0007396449704142012,0.07%
57,flowmapp,1,0.0007396449704142012,0.07%
45,css3,1,0.0007396449704142012,0.07%
46,customer development,1,0.0007396449704142012,0.07%
47,customer journey map,1,0.0007396449704142012,0.07%
48,cx - исследования,1,0.0007396449704142012,0.07%
49,data visualization,1,0.0007396449704142012,0.07%
50,dau,1,0.0007396449704142012,0.07%
53,ecom,1,0.0007396449704142012,0.07%
54,english,1,0.0007396449704142012,0.07%
55,etl,1,0.0007396449704142012,0.07%
58,game interfaces unreal engine,1,0.0007396449704142012,0.07%
42,coreldraw photo draw,1,0.0007396449704142012,0.07%
59,git,1,0.0007396449704142012,0.07%
61,google docs,1,0.0007396449704142012,0.07%
62,google material design,1,0.0007396449704142012,0.07%
64,growth hacking,1,0.0007396449704142012,0.07%
65,gtm,1,0.0007396449704142012,0.07%
70,interactive prototypes,1,0.0007396449704142012,0.07%
73,iot,1,0.0007396449704142012,0.07%
75,jquery,1,0.0007396449704142012,0.07%
76,js,1,0.0007396449704142012,0.07%
43,crm,1,0.0007396449704142012,0.07%
40,cms wordpress,1,0.0007396449704142012,0.07%
78,leadership skills,1,0.0007396449704142012,0.07%
27,b2b,1,0.0007396449704142012,0.07%
2,3d-графика,1,0.0007396449704142012,0.07%
3,3ds max,1,0.0007396449704142012,0.07%
4,a/b тесты,1,0.0007396449704142012,0.07%
5,adaptive design,1,0.0007396449704142012,0.07%
9,adobe dreamweaver,1,0.0007396449704142012,0.07%
10,adobe flash,1,0.0007396449704142012,0.07%
14,adobe suite,1,0.0007396449704142012,0.07%
18,ai,1,0.0007396449704142012,0.07%
24,autodesk 3ds max,1,0.0007396449704142012,0.07%
28,b2b исследования,1,0.0007396449704142012,0.07%
39,clickhouse,1,0.0007396449704142012,0.07%
29,b2b продажи,1,0.0007396449704142012,0.07%
30,b2c,1,0.0007396449704142012,0.07%
31,b2c marketing,1,0.0007396449704142012,0.07%
32,balsamiq,1,0.0007396449704142012,0.07%
33,blender 3d,1,0.0007396449704142012,0.07%
34,bootstrap,1,0.0007396449704142012,0.07%
35,business english,1,0.0007396449704142012,0.07%
36,c++,1,0.0007396449704142012,0.07%
37,c/c++,1,0.0007396449704142012,0.07%
77,jtbd,1,0.0007396449704142012,0.07%
79,linux,1,0.0007396449704142012,0.07%
147,xd,1,0.0007396449704142012,0.07%
129,uml,1,0.0007396449704142012,0.07%
115,scetch,1,0.0007396449704142012,0.07%
117,seo-копирайтинг,1,0.0007396449704142012,0.07%
119,sketchup,1,0.0007396449704142012,0.07%
120,specifications,1,0.0007396449704142012,0.07%
121,sql,1,0.0007396449704142012,0.07%
122,tilda,1,0.0007396449704142012,0.07%
1,3d моделирование,1,0.0007396449704142012,0.07%
125,ui kit,1,0.0007396449704142012,0.07%
126,ui анимации,1,0.0007396449704142012,0.07%
133,user experience,1,0.0007396449704142012,0.07%
113,responsive,1,0.0007396449704142012,0.07%
135,ux research,1,0.0007396449704142012,0.07%
136,ux-аналитика,1,0.0007396449704142012,0.07%
137,ux-исследования,1,0.0007396449704142012,0.07%
139,ux/ui designer,1,0.0007396449704142012,0.07%
140,ux/ui дизайн интерфейсов,1,0.0007396449704142012,0.07%
142,uxpin,1,0.0007396449704142012,0.07%
143,uxr,1,0.0007396449704142012,0.07%
145,web application development,1,0.0007396449704142012,0.07%
146,webflow,1,0.0007396449704142012,0.07%
114,salesforce,1,0.0007396449704142012,0.07%
112,research,1,0.0007396449704142012,0.07%
81,marketing design,1,0.0007396449704142012,0.07%
95,opengl,1,0.0007396449704142012,0.07%
83,mathcad,1,0.0007396449704142012,0.07%
84,microsoft visual studio,1,0.0007396449704142012,0.07%
86,miro (realtimeboard),1,0.0007396449704142012,0.07%
87,mobile,1,0.0007396449704142012,0.07%
89,ms access,1,0.0007396449704142012,0.07%
90,ms excel,1,0.0007396449704142012,0.07%
91,ms powerpoint,1,0.0007396449704142012,0.07%
92,ms sql,1,0.0007396449704142012,0.07%
94,mvt тесты,1,0.0007396449704142012,0.07%
96,owox,1,0.0007396449704142012,0.07%
111,react,1,0.0007396449704142012,0.07%
99,po,1,0.0007396449704142012,0.07%
101,principle/after effect,1,0.0007396449704142012,0.07%
102,product design,1,0.0007396449704142012,0.07%
103,product designer,1,0.0007396449704142012,0.07%
104,product development,1,0.0007396449704142012,0.07%
105,product owner,1,0.0007396449704142012,0.07%
108,ps,1,0.0007396449704142012,0.07%
109,python,1,0.0007396449704142012,0.07%
110,qt,1,0.0007396449704142012,0.07%
245,яндекс.метрика,1,0.0007396449704142012,0.07%
