,skills,sum,frequency,percent
163,ux,275,0.10404842981460462,10.40%
150,ui,230,0.08702232311766932,8.70%
196,веб-дизайн,190,0.07188800605372682,7.19%
19,adobe photoshop,177,0.06696935300794551,6.70%
68,figma,151,0.0571320469163829,5.71%
216,дизайн интерфейсов,138,0.05221339387060159,5.22%
283,проектирование пользовательских интерфейсов,137,0.05183503594400303,5.18%
16,adobe illustrator,106,0.0401059402194476,4.01%
215,дизайн,57,0.021566401816118047,2.16%
157,usability,47,0.017782822550132426,1.78%
192,английский язык,45,0.0170261066969353,1.70%
209,графический дизайн,40,0.01513431706394249,1.51%
287,прототипирование,35,0.01324252743094968,1.32%
288,работа в команде,34,0.012864169504351116,1.29%
50,css,34,0.012864169504351116,1.29%
241,креативность,31,0.01172909572455543,1.17%
80,html,29,0.010972379871358306,1.10%
25,android,29,0.010972379871358306,1.10%
89,ios,27,0.01021566401816118,1.02%
138,sketch,22,0.00832387438516837,0.83%
10,adobe after effect,21,0.007945516458569807,0.79%
59,design,20,0.007567158531971245,0.76%
47,coreldraw,19,0.007188800605372683,0.72%
151,ui/ux,17,0.006432084752175558,0.64%
323,тестирование пользовательского интерфейса,15,0.0056753688989784334,0.57%
139,sketchup,14,0.0052970109723798715,0.53%
208,графические редакторы,14,0.0052970109723798715,0.53%
187,аналитические исследования,13,0.004918653045781309,0.49%
32,axure rp,12,0.004540295119182747,0.45%
114,ms powerpoint,11,0.004161937192584185,0.42%
42,cjm,11,0.004161937192584185,0.42%
21,adobe xd,10,0.0037835792659856224,0.38%
207,графика,10,0.0037835792659856224,0.38%
82,html5,9,0.00340522133938706,0.34%
191,аналитическое мышление,8,0.003026863412788498,0.30%
298,разработка технических заданий,8,0.003026863412788498,0.30%
23,agile project management,8,0.003026863412788498,0.30%
205,грамотная речь,8,0.003026863412788498,0.30%
268,подготовка презентаций,8,0.003026863412788498,0.30%
276,проведение презентаций,8,0.003026863412788498,0.30%
176,zeplin,7,0.0026485054861899358,0.26%
275,проведение опросов,7,0.0026485054861899358,0.26%
36,b2c исследования,7,0.0026485054861899358,0.26%
30,atlassian jira,7,0.0026485054861899358,0.26%
100,market research,7,0.0026485054861899358,0.26%
306,рисунок,7,0.0026485054861899358,0.26%
17,adobe indesign,7,0.0026485054861899358,0.26%
224,интервьюирование,7,0.0026485054861899358,0.26%
294,разработка концепции,7,0.0026485054861899358,0.26%
95,jtbd,6,0.0022701475595913734,0.23%
296,разработка нового продукта,6,0.0022701475595913734,0.23%
200,верстка,6,0.0022701475595913734,0.23%
168,ux/ui,6,0.0022701475595913734,0.23%
51,css3,6,0.0022701475595913734,0.23%
155,unity,6,0.0022701475595913734,0.23%
34,b2b исследования,6,0.0022701475595913734,0.23%
74,google analytics,6,0.0022701475595913734,0.23%
257,обучение и развитие,6,0.0022701475595913734,0.23%
125,principle,5,0.0018917896329928112,0.19%
88,invision,5,0.0018917896329928112,0.19%
195,веб-аналитика,5,0.0018917896329928112,0.19%
194,бизнес-анализ,5,0.0018917896329928112,0.19%
272,пользователь пк,5,0.0018917896329928112,0.19%
261,организация и проведение фокус групп,5,0.0018917896329928112,0.19%
247,мобильность,5,0.0018917896329928112,0.19%
342,юзабилити тестирование,5,0.0018917896329928112,0.19%
239,копирайтинг,5,0.0018917896329928112,0.19%
54,customer journey map,5,0.0018917896329928112,0.19%
108,mobile,5,0.0018917896329928112,0.19%
206,грамотность,5,0.0018917896329928112,0.19%
149,tilda,5,0.0018917896329928112,0.19%
332,управление проектами,5,0.0018917896329928112,0.19%
223,иллюстрирование,5,0.0018917896329928112,0.19%
243,маркетинговые исследования,4,0.001513431706394249,0.15%
152,ui/ux designer,4,0.001513431706394249,0.15%
99,mac os,4,0.001513431706394249,0.15%
186,аналитика,4,0.001513431706394249,0.15%
142,sql,4,0.001513431706394249,0.15%
345,яндекс.метрика,4,0.001513431706394249,0.15%
102,material design,3,0.0011350737797956867,0.11%
180,анализ данных,3,0.0011350737797956867,0.11%
115,ms sql,3,0.0011350737797956867,0.11%
109,mobile design,3,0.0011350737797956867,0.11%
302,редактирование,3,0.0011350737797956867,0.11%
248,мобильные приложения,3,0.0011350737797956867,0.11%
234,качественные исследования,3,0.0011350737797956867,0.11%
13,adobe design,3,0.0011350737797956867,0.11%
158,user experience,3,0.0011350737797956867,0.11%
52,custdev,3,0.0011350737797956867,0.11%
252,навыки презентации,3,0.0011350737797956867,0.11%
254,написание текстов,3,0.0011350737797956867,0.11%
245,маркетинговый анализ,3,0.0011350737797956867,0.11%
312,системный анализ,3,0.0011350737797956867,0.11%
311,системное мышление,3,0.0011350737797956867,0.11%
22,after effects,3,0.0011350737797956867,0.11%
181,анализ конкурентной среды,2,0.0007567158531971245,0.08%
255,наполнение контентом,2,0.0007567158531971245,0.08%
253,написание статей,2,0.0007567158531971245,0.08%
156,unity 3d,2,0.0007567158531971245,0.08%
154,uml,2,0.0007567158531971245,0.08%
281,проектирование интерфейсов,2,0.0007567158531971245,0.08%
147,surveymonkey,2,0.0007567158531971245,0.08%
240,корректура текстов,2,0.0007567158531971245,0.08%
260,организаторские навыки,2,0.0007567158531971245,0.08%
140,specifications,2,0.0007567158531971245,0.08%
137,scrum,2,0.0007567158531971245,0.08%
277,проведение тестирований,2,0.0007567158531971245,0.08%
171,web,2,0.0007567158531971245,0.08%
271,полиграфический дизайн,2,0.0007567158531971245,0.08%
263,ориентация на результат,2,0.0007567158531971245,0.08%
190,аналитический склад ума,2,0.0007567158531971245,0.08%
107,miro,2,0.0007567158531971245,0.08%
330,управление интернет-проектами,2,0.0007567158531971245,0.08%
106,microsoft visual studio,2,0.0007567158531971245,0.08%
49,crm,2,0.0007567158531971245,0.08%
204,глубинные интервью,2,0.0007567158531971245,0.08%
44,cms wordpress,2,0.0007567158531971245,0.08%
325,тренинги,2,0.0007567158531971245,0.08%
327,умение работать в команде,2,0.0007567158531971245,0.08%
329,управление временем,2,0.0007567158531971245,0.08%
35,b2c,2,0.0007567158531971245,0.08%
226,интернет-реклама,2,0.0007567158531971245,0.08%
316,создание сайтов,2,0.0007567158531971245,0.08%
212,деловая коммуникация,2,0.0007567158531971245,0.08%
20,adobe premier,2,0.0007567158531971245,0.08%
15,adobe flash,2,0.0007567158531971245,0.08%
338,французский язык,2,0.0007567158531971245,0.08%
12,adobe cs,2,0.0007567158531971245,0.08%
7,a/b тесты,2,0.0007567158531971245,0.08%
5,3d моделирование,2,0.0007567158531971245,0.08%
2,3d,2,0.0007567158531971245,0.08%
317,статистический анализ,2,0.0007567158531971245,0.08%
53,customer development,2,0.0007567158531971245,0.08%
315,создание графики,2,0.0007567158531971245,0.08%
76,google sketchup,2,0.0007567158531971245,0.08%
103,mathcad,2,0.0007567158531971245,0.08%
289,работа с базами данных,2,0.0007567158531971245,0.08%
290,работа с большим объемом информации,2,0.0007567158531971245,0.08%
184,анализ рынка,2,0.0007567158531971245,0.08%
237,количественные исследования,2,0.0007567158531971245,0.08%
92,jira,2,0.0007567158531971245,0.08%
91,javascript,2,0.0007567158531971245,0.08%
79,guideline,2,0.0007567158531971245,0.08%
162,user story,2,0.0007567158531971245,0.08%
73,git,2,0.0007567158531971245,0.08%
244,маркетинговые коммуникации,1,0.00037835792659856227,0.04%
225,интернет-банк,1,0.00037835792659856227,0.04%
230,ипотечное кредитование,1,0.00037835792659856227,0.04%
222,закупки,1,0.00037835792659856227,0.04%
229,информационные технологии,1,0.00037835792659856227,0.04%
246,массовые опросы,1,0.00037835792659856227,0.04%
238,командообразование,1,0.00037835792659856227,0.04%
232,исследование поведения пользователей,1,0.00037835792659856227,0.04%
228,инфографика,1,0.00037835792659856227,0.04%
