,skills,sum,frequency,percent
54,ux,45,0.1461038961038961,14.61%
45,ui,30,0.09740259740259741,9.74%
74,проектирование пользовательских интерфейсов,20,0.06493506493506493,6.49%
62,веб-дизайн,20,0.06493506493506493,6.49%
18,figma,15,0.048701298701298704,4.87%
65,дизайн интерфейсов,14,0.045454545454545456,4.55%
4,adobe photoshop,12,0.03896103896103896,3.90%
2,adobe illustrator,11,0.03571428571428571,3.57%
61,английский язык,11,0.03571428571428571,3.57%
75,прототипирование,8,0.025974025974025976,2.60%
23,ios,5,0.016233766233766232,1.62%
37,sketch,5,0.016233766233766232,1.62%
64,дизайн,5,0.016233766233766232,1.62%
7,android,5,0.016233766233766232,1.62%
6,agile project management,5,0.016233766233766232,1.62%
48,usability,4,0.012987012987012988,1.30%
21,html,4,0.012987012987012988,1.30%
63,графический дизайн,4,0.012987012987012988,1.30%
13,css,4,0.012987012987012988,1.30%
76,работа в команде,3,0.00974025974025974,0.97%
31,ms access,3,0.00974025974025974,0.97%
33,product management,3,0.00974025974025974,0.97%
43,teamplayer,3,0.00974025974025974,0.97%
42,team management,3,0.00974025974025974,0.97%
28,leadership skills,3,0.00974025974025974,0.97%
57,zeplin,2,0.006493506493506494,0.65%
0,adobe after effect,2,0.006493506493506494,0.65%
55,ux design,2,0.006493506493506494,0.65%
22,html5,2,0.006493506493506494,0.65%
9,atlassian jira,2,0.006493506493506494,0.65%
47,unreal engine 4,2,0.006493506493506494,0.65%
3,adobe indesign,2,0.006493506493506494,0.65%
59,аналитические исследования,2,0.006493506493506494,0.65%
56,visual design,1,0.003246753246753247,0.32%
53,user-centered design,1,0.003246753246753247,0.32%
52,user research,1,0.003246753246753247,0.32%
66,дизайн продукта,1,0.003246753246753247,0.32%
58,анализ поведения пользователей,1,0.003246753246753247,0.32%
60,аналитическое мышление,1,0.003246753246753247,0.32%
50,use case analysis,1,0.003246753246753247,0.32%
67,дизайн-системы,1,0.003246753246753247,0.32%
68,качественные исследования,1,0.003246753246753247,0.32%
69,количественные исследования,1,0.003246753246753247,0.32%
70,креативность,1,0.003246753246753247,0.32%
71,маркетинговые исследования,1,0.003246753246753247,0.32%
72,обучение и развитие,1,0.003246753246753247,0.32%
73,ориентация на результат,1,0.003246753246753247,0.32%
77,создание сайтов,1,0.003246753246753247,0.32%
78,тестирование пользовательского интерфейса,1,0.003246753246753247,0.32%
51,user flow map,1,0.003246753246753247,0.32%
40,strategic marketing,1,0.003246753246753247,0.32%
49,usability testing,1,0.003246753246753247,0.32%
25,java ee,1,0.003246753246753247,0.32%
5,adobe xd,1,0.003246753246753247,0.32%
8,apache maven,1,0.003246753246753247,0.32%
10,axure rp,1,0.003246753246753247,0.32%
11,brand management,1,0.003246753246753247,0.32%
12,coreldraw,1,0.003246753246753247,0.32%
14,css3,1,0.003246753246753247,0.32%
15,customer journey,1,0.003246753246753247,0.32%
16,customer journey map,1,0.003246753246753247,0.32%
17,design,1,0.003246753246753247,0.32%
19,google analytics,1,0.003246753246753247,0.32%
20,hibernate orm,1,0.003246753246753247,0.32%
24,java,1,0.003246753246753247,0.32%
26,javascript,1,0.003246753246753247,0.32%
46,unity,1,0.003246753246753247,0.32%
27,jquery,1,0.003246753246753247,0.32%
29,market research,1,0.003246753246753247,0.32%
30,marketing analysis,1,0.003246753246753247,0.32%
32,product design,1,0.003246753246753247,0.32%
34,project management,1,0.003246753246753247,0.32%
35,research,1,0.003246753246753247,0.32%
36,scala,1,0.003246753246753247,0.32%
38,sketchup,1,0.003246753246753247,0.32%
39,start-up project,1,0.003246753246753247,0.32%
1,adobe creative cloud,1,0.003246753246753247,0.32%
41,strategic planning,1,0.003246753246753247,0.32%
44,time management,1,0.003246753246753247,0.32%
79,управление проектами,1,0.003246753246753247,0.32%
