,skills,sum,frequency,percent
4,adobe photoshop,25,0.1111111111111111,11.11%
31,ux,22,0.09777777777777778,9.78%
29,ui,18,0.08,8.00%
16,figma,17,0.07555555555555556,7.56%
2,adobe illustrator,14,0.06222222222222222,6.22%
38,веб-дизайн,13,0.057777777777777775,5.78%
56,проектирование пользовательских интерфейсов,11,0.04888888888888889,4.89%
45,дизайн интерфейсов,6,0.02666666666666667,2.67%
37,английский язык,5,0.022222222222222223,2.22%
44,дизайн,5,0.022222222222222223,2.22%
30,usability,4,0.017777777777777778,1.78%
58,работа в команде,4,0.017777777777777778,1.78%
18,html,4,0.017777777777777778,1.78%
57,прототипирование,4,0.017777777777777778,1.78%
0,adobe after effect,3,0.013333333333333334,1.33%
12,css,3,0.013333333333333334,1.33%
50,креативность,3,0.013333333333333334,1.33%
27,sketch,3,0.013333333333333334,1.33%
24,ms powerpoint,2,0.008888888888888889,0.89%
42,графический дизайн,2,0.008888888888888889,0.89%
40,грамотность,2,0.008888888888888889,0.89%
3,adobe indesign,2,0.008888888888888889,0.89%
68,торговая площадка,2,0.008888888888888889,0.89%
65,системное мышление,2,0.008888888888888889,0.89%
67,техническая документация,1,0.0044444444444444444,0.44%
59,разработка концепции,1,0.0044444444444444444,0.44%
64,самостоятельность,1,0.0044444444444444444,0.44%
46,дизайнер,1,0.0044444444444444444,0.44%
61,разработка технических заданий,1,0.0044444444444444444,0.44%
47,интернет-реклама,1,0.0044444444444444444,0.44%
60,разработка проектной документации,1,0.0044444444444444444,0.44%
71,управление проектами,1,0.0044444444444444444,0.44%
48,качественные исследования,1,0.0044444444444444444,0.44%
49,копирайтинг,1,0.0044444444444444444,0.44%
51,написание текстов,1,0.0044444444444444444,0.44%
66,творческое мышление,1,0.0044444444444444444,0.44%
52,обучение и развитие,1,0.0044444444444444444,0.44%
70,управление персоналом,1,0.0044444444444444444,0.44%
69,удаленная работа,1,0.0044444444444444444,0.44%
62,редактирование текстов,1,0.0044444444444444444,0.44%
53,подготовка презентаций,1,0.0044444444444444444,0.44%
54,пользователь пк,1,0.0044444444444444444,0.44%
55,"построение cjm, user flow",1,0.0044444444444444444,0.44%
63,самоконтроль,1,0.0044444444444444444,0.44%
36,анализ поведения пользователей,1,0.0044444444444444444,0.44%
43,деловая коммуникация,1,0.0044444444444444444,0.44%
41,графика,1,0.0044444444444444444,0.44%
5,agile project management,1,0.0044444444444444444,0.44%
6,android,1,0.0044444444444444444,0.44%
7,atlassian confluence,1,0.0044444444444444444,0.44%
8,atlassian jira,1,0.0044444444444444444,0.44%
9,axure,1,0.0044444444444444444,0.44%
10,axure rp,1,0.0044444444444444444,0.44%
11,coreldraw,1,0.0044444444444444444,0.44%
13,design thinking,1,0.0044444444444444444,0.44%
14,digital,1,0.0044444444444444444,0.44%
15,eye-tracker,1,0.0044444444444444444,0.44%
17,graphic design,1,0.0044444444444444444,0.44%
19,internet marketing,1,0.0044444444444444444,0.44%
20,invision,1,0.0044444444444444444,0.44%
21,it,1,0.0044444444444444444,0.44%
22,jira,1,0.0044444444444444444,0.44%
23,marketing communication,1,0.0044444444444444444,0.44%
25,project documentation,1,0.0044444444444444444,0.44%
26,prototyping,1,0.0044444444444444444,0.44%
28,tilda,1,0.0044444444444444444,0.44%
32,ux-исследование,1,0.0044444444444444444,0.44%
33,ux/ui,1,0.0044444444444444444,0.44%
34,web,1,0.0044444444444444444,0.44%
35,анализ данных,1,0.0044444444444444444,0.44%
1,adobe cs,1,0.0044444444444444444,0.44%
39,грамотная речь,1,0.0044444444444444444,0.44%
72,энтузиазм,1,0.0044444444444444444,0.44%
