iter	Accuracy	MultiClass
0	0.5143165856	1.184011582
1	0.5137763371	1.074485318
2	0.5164775797	1.008818177
3	0.529443544	0.9619824121
4	0.5310642896	0.9345304586
5	0.5440302539	0.9120141727
6	0.5526742301	0.8976468179
7	0.5586169638	0.887670649
8	0.5667206915	0.8809106069
9	0.5705024311	0.874996778
10	0.5748244192	0.8703743696
11	0.5748244192	0.8678955956
12	0.5807671529	0.8632199052
13	0.5834683955	0.8601784953
14	0.5813074014	0.8576413787
15	0.5899513776	0.855218061
16	0.5910318747	0.8524007852
17	0.6061588331	0.8482381822
18	0.6061588331	0.8437519364
19	0.6099405727	0.8407461949
20	0.6066990816	0.8372828673
21	0.6072393301	0.8345084511
22	0.6077795786	0.8331850807
23	0.6137223123	0.8312513539
24	0.6148028093	0.8299591423
25	0.6169638033	0.8266220457
26	0.6191247974	0.824357551
27	0.6207455429	0.822569985
28	0.62182604	0.8205071779
29	0.6202052944	0.8178895687
30	0.62182604	0.8152374663
31	0.6185845489	0.8130973117
32	0.6202052944	0.8117962417
33	0.6202052944	0.8107767391
34	0.6234467855	0.8093075966
35	0.6256077796	0.8076435361
36	0.6283090222	0.8066747176
37	0.6315505132	0.805358279
38	0.6315505132	0.8048137595
39	0.6347920043	0.8031307671
40	0.6347920043	0.8022103821
41	0.6347920043	0.8011590392
42	0.6347920043	0.8002860228
43	0.6347920043	0.7987380171
44	0.6385737439	0.7973823857
45	0.6412749865	0.7960429177
46	0.6412749865	0.7952081232
47	0.6434359806	0.7943061514
48	0.6455969746	0.7937010501
49	0.6455969746	0.7928603416
50	0.6455969746	0.792031213
51	0.6455969746	0.790843481
52	0.6466774716	0.7901582999
53	0.6477579687	0.7895697596
54	0.6488384657	0.7886863993
55	0.6488384657	0.7872875665
56	0.6488384657	0.786766598
57	0.6488384657	0.7861351014
58	0.6499189627	0.7847572199
59	0.6520799568	0.7840730766
60	0.6542409508	0.7835465415
61	0.6542409508	0.7824772245
62	0.6553214479	0.7819048508
63	0.6558616964	0.7814450071
64	0.6558616964	0.7804591241
65	0.6558616964	0.7795407462
66	0.6569421934	0.7791885789
67	0.6569421934	0.778611316
68	0.6569421934	0.7781451509
69	0.6574824419	0.7777234646
70	0.6574824419	0.7771308148
71	0.658562939	0.7759685604
72	0.658562939	0.7755436635
73	0.659643436	0.7751540869
74	0.659643436	0.7742544547
75	0.660723933	0.7738056374
76	0.6623446786	0.7731547026
77	0.6623446786	0.7724985319
78	0.6623446786	0.771845124
79	0.6623446786	0.770842326
80	0.6623446786	0.7702756248
81	0.6628849271	0.769552765
82	0.6639654241	0.7690850117
83	0.6650459211	0.7686635176
84	0.6661264182	0.768249829
85	0.6661264182	0.767584552
86	0.6661264182	0.7670689286
87	0.6655861696	0.7666179194
88	0.6666666667	0.7660642628
89	0.6666666667	0.7657273916
90	0.6666666667	0.7651888821
91	0.6666666667	0.7647064869
92	0.6672069152	0.7642256371
93	0.6672069152	0.7636938134
94	0.6672069152	0.7633425952
95	0.6672069152	0.7631095267
96	0.6672069152	0.7625908095
97	0.6672069152	0.7620980152
98	0.6672069152	0.7617553604
99	0.6672069152	0.761336124
100	0.6672069152	0.7608740229
101	0.6682874122	0.760436204
102	0.6682874122	0.7601203667
103	0.6682874122	0.7597233802
104	0.6688276607	0.7592347094
105	0.6688276607	0.7583720855
106	0.6688276607	0.7579701242
107	0.6704484063	0.7573460729
108	0.6704484063	0.7566793782
109	0.6704484063	0.7562824073
110	0.6704484063	0.7556288927
111	0.6704484063	0.7550866211
112	0.6704484063	0.7544247563
113	0.6704484063	0.7540178025
114	0.6709886548	0.7535876663
115	0.6709886548	0.7531616243
116	0.6709886548	0.7528606085
117	0.6709886548	0.7523101301
118	0.6709886548	0.751974795
119	0.6709886548	0.7515992625
120	0.6715289033	0.7513135556
121	0.6715289033	0.7509724361
122	0.6715289033	0.7504524113
123	0.6720691518	0.7501521913
124	0.6720691518	0.7496497351
125	0.6720691518	0.7493058933
126	0.6720691518	0.7487308564
127	0.6726094003	0.7483832727
128	0.6726094003	0.7481479244
129	0.6736898974	0.7478379421
130	0.6736898974	0.7474999457
131	0.6736898974	0.7470044832
132	0.6736898974	0.7465913924
133	0.6736898974	0.7463046764
134	0.6736898974	0.7459350484
135	0.6753106429	0.7453935343
136	0.6758508914	0.7451205417
137	0.6769313884	0.7448482911
138	0.6769313884	0.7438889424
139	0.6769313884	0.7434336994
140	0.6769313884	0.7431053438
141	0.6769313884	0.7427486963
142	0.6769313884	0.7425395081
143	0.6769313884	0.742322986
144	0.6769313884	0.7415513656
145	0.6769313884	0.7412385433
146	0.6769313884	0.7408899466
147	0.6769313884	0.7404831171
148	0.6769313884	0.7401832259
149	0.6769313884	0.7397543524
150	0.6769313884	0.7393515221
151	0.6769313884	0.7390634914
152	0.677471637	0.7382645266
153	0.6769313884	0.7378845753
154	0.6769313884	0.7375145631
155	0.6769313884	0.7371242523
156	0.6769313884	0.7367496844
157	0.677471637	0.7363004906
158	0.6769313884	0.7357856879
159	0.6769313884	0.7355657014
160	0.677471637	0.7352192913
161	0.6780118855	0.734858288
162	0.6780118855	0.7345712
163	0.6780118855	0.7342048661
164	0.678552134	0.7339817993
165	0.678552134	0.7336346354
166	0.678552134	0.7332662722
167	0.678552134	0.7330156183
168	0.6790923825	0.7327586982
169	0.6801728795	0.7324348342
170	0.679632631	0.7321214824
171	0.679632631	0.7317645547
172	0.6801728795	0.7305969362
173	0.6801728795	0.7303089131
174	0.680713128	0.7299798199
175	0.6812533766	0.7296370115
176	0.680713128	0.7293955674
177	0.680713128	0.7291163358
178	0.6812533766	0.7288293626
179	0.6812533766	0.728454366
180	0.6812533766	0.7282463379
181	0.6812533766	0.728003785
182	0.6817936251	0.7275645765
183	0.6817936251	0.7273129339
184	0.6823338736	0.7269174568
185	0.6823338736	0.7265554228
186	0.6823338736	0.7263125232
187	0.6823338736	0.7258382035
188	0.6828741221	0.7255030564
189	0.6828741221	0.7249956537
190	0.6834143706	0.7247865048
191	0.6834143706	0.7244696603
192	0.6828741221	0.7242508382
193	0.6834143706	0.7238601034
194	0.6834143706	0.7236406497
195	0.6834143706	0.7232568855
196	0.6839546191	0.7229340949
197	0.6839546191	0.7226073269
198	0.6839546191	0.7221155859
199	0.6844948676	0.7218341586
200	0.6855753647	0.7216206564
201	0.6855753647	0.7213867504
202	0.6861156132	0.7211550253
203	0.6855753647	0.720952577
204	0.6866558617	0.720717017
205	0.6871961102	0.7205463704
206	0.6877363587	0.7201318438
207	0.6877363587	0.7198649649
208	0.6877363587	0.719651836
209	0.6877363587	0.7191611942
210	0.6888168558	0.7189399771
211	0.6888168558	0.7187553694
212	0.6888168558	0.718536042
213	0.6898973528	0.7183591872
214	0.6909778498	0.7180692978
215	0.6909778498	0.7178215359
216	0.6915180983	0.7175100467
217	0.6915180983	0.7172043654
218	0.6936790924	0.7170185696
219	0.6942193409	0.7165776811
220	0.6942193409	0.7163654743
221	0.6947595894	0.7160209189
222	0.6952998379	0.7157709881
223	0.6958400864	0.7155212858
224	0.697460832	0.7152364956
225	0.697460832	0.7150013407
226	0.6980010805	0.714626431
227	0.6980010805	0.7142093285
228	0.6980010805	0.7139755172
229	0.698541329	0.7136905715
230	0.6990815775	0.7134610753
231	0.699621826	0.7131929126
232	0.7001620746	0.7129854244
233	0.7017828201	0.7125304687
234	0.7012425716	0.7123162556
235	0.7017828201	0.7120761401
236	0.7017828201	0.7118714665
237	0.7023230686	0.7115908722
238	0.7023230686	0.71134779
239	0.7028633171	0.711139437
240	0.7028633171	0.7108726713
241	0.7028633171	0.7106509844
242	0.7028633171	0.710399762
243	0.7028633171	0.7100344712
244	0.7034035656	0.7098509047
245	0.7039438142	0.7095517904
246	0.7039438142	0.7093802894
247	0.7039438142	0.7092038477
248	0.7044840627	0.7089046129
249	0.7044840627	0.7087167321
250	0.7044840627	0.7084733915
251	0.7044840627	0.7081834416
252	0.7055645597	0.7080229412
253	0.7061048082	0.7078189397
254	0.7061048082	0.7076328596
255	0.7061048082	0.70744541
256	0.7066450567	0.7071369204
257	0.7066450567	0.7068706568
258	0.7071853052	0.7064341023
259	0.7077255538	0.7061073707
260	0.7077255538	0.7057502808
261	0.7077255538	0.7055413363
262	0.7082658023	0.7051979835
263	0.7082658023	0.7049239352
264	0.7088060508	0.7047786015
265	0.7093462993	0.7045363421
266	0.7093462993	0.7041393779
267	0.7098865478	0.70383339
268	0.7098865478	0.7036457821
269	0.7104267963	0.7034613833
270	0.7109670448	0.7032545134
271	0.7109670448	0.7030607086
272	0.7109670448	0.7029137128
273	0.7109670448	0.7027622953
274	0.7109670448	0.7024127289
275	0.7115072934	0.7022224098
276	0.7125877904	0.7020407562
277	0.7125877904	0.7018137391
278	0.7131280389	0.7016166123
279	0.7131280389	0.701474149
280	0.7131280389	0.700836645
281	0.7136682874	0.7006757252
282	0.7136682874	0.7004632462
283	0.7142085359	0.699987163
284	0.7147487844	0.6998323204
285	0.7147487844	0.6995394691
286	0.7147487844	0.6993462432
287	0.7147487844	0.6990334389
288	0.7147487844	0.698853815
289	0.715289033	0.6986639388
290	0.715289033	0.698520574
291	0.715289033	0.6982145635
292	0.7158292815	0.698061901
293	0.71636953	0.6978265514
294	0.71636953	0.6976425593
295	0.71636953	0.6973239729
296	0.7169097785	0.697157184
297	0.7169097785	0.6970272923
298	0.7169097785	0.696428545
299	0.717450027	0.6961781473
300	0.717450027	0.6959468375
301	0.7179902755	0.6958314946
302	0.718530524	0.6956485949
303	0.718530524	0.6954706564
304	0.7190707726	0.6952814831
305	0.7190707726	0.6951137171
306	0.7190707726	0.6949455912
307	0.7190707726	0.6948094898
308	0.7190707726	0.6946433355
309	0.7190707726	0.694510173
310	0.7201512696	0.6943534148
311	0.7201512696	0.6942424844
312	0.7206915181	0.6941015355
313	0.7212317666	0.6939296472
314	0.7212317666	0.6936199762
315	0.7212317666	0.6934543602
316	0.7212317666	0.6933434522
317	0.7217720151	0.6931576593
318	0.7217720151	0.6928716305
319	0.7217720151	0.6926961423
320	0.7223122636	0.6925029757
321	0.7223122636	0.6923281183
322	0.7228525122	0.6921540562
323	0.7233927607	0.6919171601
324	0.7239330092	0.6917708723
325	0.7239330092	0.691637043
326	0.7239330092	0.6914736332
327	0.7244732577	0.6913405355
328	0.7250135062	0.6911673147
329	0.7255537547	0.6909823935
330	0.7255537547	0.6908247403
331	0.7266342518	0.690677712
332	0.7266342518	0.6905427487
333	0.7271745003	0.6902181421
334	0.7271745003	0.690123707
335	0.7271745003	0.6898653229
336	0.7271745003	0.6896770229
337	0.7271745003	0.6894671195
338	0.7271745003	0.6891698718
339	0.7277147488	0.6890562232
340	0.7277147488	0.6889055646
341	0.7277147488	0.6886608596
342	0.7277147488	0.6885240904
343	0.7277147488	0.6884167464
344	0.7277147488	0.6882593031
345	0.7277147488	0.6881373513
346	0.7277147488	0.6880083196
347	0.7277147488	0.6878318444
348	0.7282549973	0.6876881119
349	0.7282549973	0.6874940767
350	0.7282549973	0.6873571459
351	0.7282549973	0.6871634937
352	0.7282549973	0.6870332476
353	0.7282549973	0.6868087454
354	0.7282549973	0.6867159875
355	0.7282549973	0.6865660533
356	0.7287952458	0.6863575733
357	0.7287952458	0.6862520148
358	0.7287952458	0.6860214483
359	0.7287952458	0.6858630616
360	0.7287952458	0.6856038564
361	0.7287952458	0.6853945493
362	0.7287952458	0.6852319708
363	0.7287952458	0.6850039017
364	0.7287952458	0.6847861398
365	0.7287952458	0.6846590041
366	0.7287952458	0.684433578
367	0.7287952458	0.684323552
368	0.7287952458	0.6842538292
369	0.7287952458	0.6841498448
370	0.7287952458	0.6839543692
371	0.7287952458	0.6838104413
372	0.7293354943	0.6836575913
373	0.7293354943	0.6835198715
374	0.7298757428	0.6834151063
375	0.7298757428	0.6832673863
376	0.7298757428	0.6830360573
377	0.7298757428	0.682896945
378	0.7298757428	0.6827533123
379	0.7298757428	0.6826272824
380	0.7298757428	0.6823945184
381	0.7298757428	0.6822338999
382	0.7298757428	0.6821027159
383	0.7298757428	0.6819725509
384	0.7298757428	0.6818192405
385	0.7298757428	0.6816446166
386	0.7298757428	0.6814577478
