iter	Passed	Remaining
0	3	11640
1	7	11652
2	11	11509
3	15	11369
4	18	11325
5	22	11291
6	26	11255
7	29	11210
8	33	11233
9	37	11259
10	41	11229
11	44	11196
12	48	11171
13	52	11140
14	55	11119
15	59	11103
16	63	11079
17	66	11073
18	70	11082
19	74	11078
20	78	11074
21	81	11072
22	85	11057
23	89	11054
24	92	11049
25	96	11036
26	100	11027
27	103	11033
28	107	11041
29	112	11100
30	116	11111
31	119	11105
32	123	11089
33	126	11076
34	130	11080
35	134	11065
36	137	11047
37	141	11031
38	145	11018
39	148	11007
40	152	10996
41	156	10990
42	159	10988
43	163	10979
44	167	10974
45	170	10963
46	174	10953
47	177	10940
48	181	10930
49	185	10917
50	188	10904
51	192	10894
52	195	10884
53	199	10890
54	203	10888
55	207	10896
56	211	10916
57	215	10915
58	218	10912
59	222	10907
60	226	10901
61	230	10904
62	233	10898
63	237	10892
64	241	10894
65	244	10889
66	248	10884
67	253	10926
68	258	10987
69	263	11033
70	267	11045
71	271	11040
72	275	11031
73	278	11021
74	282	11013
75	286	11007
76	289	11000
77	293	10993
78	297	10988
79	300	10982
80	304	10975
81	308	10971
82	311	10962
83	315	10951
84	319	10946
85	322	10935
86	326	10931
87	330	10951
88	335	10978
89	339	10970
90	342	10960
91	346	10951
92	350	10941
93	353	10932
94	357	10926
95	360	10917
96	366	10958
97	370	10972
98	374	10964
99	377	10955
100	381	10945
101	385	10940
102	389	10958
103	395	11026
104	399	11020
105	403	11011
106	406	11002
107	410	10995
108	414	10993
109	418	10984
110	421	10975
111	425	10968
112	429	10961
113	432	10951
114	436	10942
115	439	10933
116	443	10924
117	446	10915
118	450	10907
119	454	10898
120	457	10890
121	461	10883
122	464	10876
123	468	10868
124	472	10862
125	475	10854
126	479	10851
127	483	10857
128	487	10852
129	491	10845
130	494	10837
131	498	10830
132	502	10821
133	505	10814
134	509	10806
135	512	10798
136	516	10790
137	519	10783
138	523	10777
139	527	10769
140	530	10761
141	534	10757
142	538	10749
143	541	10741
144	545	10735
145	548	10727
146	552	10721
147	555	10714
148	559	10708
149	563	10701
150	566	10694
151	570	10689
152	574	10682
153	577	10675
154	581	10668
155	586	10691
156	592	10721
157	595	10714
158	599	10709
159	603	10703
160	606	10696
161	610	10692
162	615	10714
163	619	10713
164	623	10707
165	626	10699
166	630	10691
167	633	10683
168	637	10676
169	641	10671
170	644	10665
171	648	10657
172	651	10651
173	655	10645
174	659	10638
175	662	10632
176	666	10628
177	670	10622
178	673	10616
179	677	10609
180	680	10602
181	684	10597
182	688	10591
183	691	10584
184	695	10579
185	698	10574
186	702	10570
187	706	10564
188	709	10558
189	713	10551
190	717	10545
191	721	10550
192	725	10546
193	728	10541
194	732	10535
195	736	10529
196	739	10523
197	743	10517
198	746	10511
199	750	10505
200	754	10500
201	758	10499
202	762	10503
203	766	10499
204	783	10685
205	794	10776
206	801	10816
207	805	10809
208	808	10802
209	812	10794
210	816	10786
211	821	10803
212	826	10816
213	830	10809
214	833	10801
215	837	10794
216	841	10789
217	844	10782
218	848	10777
219	852	10769
220	855	10762
221	859	10756
222	863	10751
223	867	10744
224	870	10741
225	874	10734
226	878	10727
227	881	10720
228	885	10713
229	888	10705
230	892	10697
231	895	10689
232	899	10683
